5.03E+01	5.03E+01	5.03E+01	5.03E+01	5.03E+01	5.03E+01	5.03E+01	5.03E+01	5.03E+01	5.03E+01
5.08E+01	5.08E+01	5.08E+01	5.08E+01	5.08E+01	5.08E+01	5.08E+01	5.08E+01	5.08E+01	5.08E+01
5.14E+01	5.14E+01	5.14E+01	5.14E+01	5.14E+01	5.14E+01	5.14E+01	5.14E+01	5.14E+01	5.14E+01
5.19E+01	5.19E+01	5.19E+01	5.19E+01	5.19E+01	5.19E+01	5.19E+01	5.19E+01	5.19E+01	5.19E+01
5.24E+01	5.24E+01	5.24E+01	5.24E+01	5.24E+01	5.24E+01	5.24E+01	5.24E+01	5.24E+01	5.24E+01
5.29E+01	5.29E+01	5.29E+01	5.29E+01	5.29E+01	5.29E+01	5.29E+01	5.29E+01	5.29E+01	5.29E+01
5.35E+01	5.35E+01	5.35E+01	5.35E+01	5.35E+01	5.35E+01	5.35E+01	5.35E+01	5.35E+01	5.35E+01
5.40E+01	5.40E+01	5.40E+01	5.40E+01	5.40E+01	5.40E+01	5.40E+01	5.40E+01	5.40E+01	5.40E+01
5.45E+01	5.45E+01	5.45E+01	5.45E+01	5.45E+01	5.45E+01	5.45E+01	5.45E+01	5.45E+01	5.45E+01
5.51E+01	5.51E+01	5.51E+01	5.51E+01	5.51E+01	5.51E+01	5.51E+01	5.51E+01	5.51E+01	5.51E+01
5.56E+01	5.56E+01	5.56E+01	5.56E+01	5.56E+01	5.56E+01	5.56E+01	5.56E+01	5.56E+01	5.56E+01
5.61E+01	5.61E+01	5.61E+01	5.61E+01	5.61E+01	5.61E+01	5.61E+01	5.61E+01	5.61E+01	5.61E+01
5.67E+01	5.67E+01	5.67E+01	5.67E+01	5.67E+01	5.67E+01	5.67E+01	5.67E+01	5.67E+01	5.67E+01
5.72E+01	5.72E+01	5.72E+01	5.72E+01	5.72E+01	5.72E+01	5.72E+01	5.72E+01	5.72E+01	5.72E+01
