Age_[ka],Sea_level_[m]
1088.22,-44.55
1089.98,-44.54
1091.79,-46.99
1093.98,-37.14
1096.39,-48.20
1098.51,-50.03
1100.43,-34.64
1102.14,-23.56
1105.13,-29.69
1106.62,-19.23
1108.12,-22.91
1109.58,-24.75
1111.38,-41.97
1113.26,-43.80
1115.04,-48.72
1117.47,-50.55
1119.78,-59.15
1122.44,-51.76
1125.08,-55.43
1127.40,-50.50
1129.71,-42.49
1131.79,-51.71
1134.11,-32.62
1135.96,-26.46
1138.04,-24.60
1140.35,-22.13
1142.66,-22.73
1144.93,-31.95
1147.31,-20.86
1149.47,-17.16
1151.85,-6.07
1154.01,-9.75
1155.95,-10.97
1158.12,-22.65
1160.20,-15.87
1162.90,-1.09
1165.61,-16.46
1168.31,-17.06
1171.85,1.42
1175.23,-2.87
1178.60,-25.62
1181.98,-11.45
1185.81,-36.05
1189.67,-39.10
1193.53,-37.85
1197.39,-35.37
1201.11,-21.20
1204.43,-39.66
1207.74,-34.73
1211.72,-40.26
1215.87,-30.41
1220.01,-15.03
1224.51,-15.02
1228.08,-1.48
1231.64,-14.40
1235.21,2.22
1238.56,1.00
1241.08,-18.69
1243.42,-32.84
1245.56,-54.99
1246.71,-45.76
1247.40,-56.83
1247.91,-52.52
1248.59,-64.83
1249.79,-61.13
1251.59,-44.52
1253.70,-47.59
1256.14,-42.67
1258.03,-40.82
1261.41,-35.28
1265.48,-27.89
1269.39,-22.35
1273.13,-19.88
1277.16,-14.95
1279.91,-9.41
1281.93,-17.41
1284.01,-21.10
1285.91,-30.94
1287.70,-44.47
1289.49,-50.62
1291.28,-46.31
1293.05,-45.08
1294.71,-42.62
1295.88,-41.39
1297.53,-45.08
1298.53,-50.61
1299.69,-34.61
1300.85,-35.85
1302.67,-37.08
1304.66,-32.17
1307.15,-25.41
1309.64,-16.19
1311.82,-14.97
1313.48,-10.67
1315.13,-16.83
1316.32,-7.60
1318.15,-19.30
1319.53,-29.77
1320.76,-37.77
1322.47,-37.78
1324.18,-38.40
1326.01,-35.33
1328.77,-39.03
1331.82,-37.81
1335.18,-34.75
1343.08,-28.01
1345.73,-22.48
1348.54,-4.04
1350.83,-0.97
1352.65,2.72
1355.17,7.01
1357.45,-9.61
1359.65,-13.62
1362.50,-23.78
1365.59,-32.41
1367.90,-42.87
1370.49,-42.27
1375.12,-36.13
1377.59,-40.45
1379.91,-34.31
1382.13,-35.55
1384.99,-20.17
1387.82,-23.88
1391.00,-14.04
1394.36,-1.75
1397.15,-1.15
1399.91,-9.77
1402.40,-20.87
1405.26,-30.13
1408.34,-41.24
1412.12,-46.20
1415.98,-45.01
1419.19,-34.58
1422.45,-22.31
1425.53,-21.11
1428.60,1.62
1431.68,0.36
1435.15,3.40
1437.94,18.14
1440.41,10.11
1442.87,16.86
1445.58,14.37
